,High Card Hand Occurrences,High Card Theoretical Probability,High Card Empirical Probability,High Card Expected Occurrences,High Card Empirical Probability Mean,High Card Empirical Probability Variance,High Card Absolute Empirical Max and Min Probability Range,High Card High Deviation Intervals,High Card Hand Occurrences Mean,High Card Absolute Theoretical and Empirical Probability Difference Mean,High Card Expected Hand Occurrences Per Interval,High Card Absolute Theoretical and Empirical Probability Variance,High Card Skewness,High Card Hand Occurrence Variance,Single Pair Hand Occurrences,Single Pair Theoretical Probability,Single Pair Empirical Probability,Single Pair Expected Occurrences,Single Pair Empirical Probability Mean,Single Pair Empirical Probability Variance,Single Pair Absolute Empirical Max and Min Probability Range,Single Pair High Deviation Intervals,Single Pair Hand Occurrences Mean,Single Pair Absolute Theoretical and Empirical Probability Difference Mean,Single Pair Expected Hand Occurrences Per Interval,Single Pair Absolute Theoretical and Empirical Probability Variance,Single Pair Skewness,Single Pair Hand Occurrence Variance,Double Pair Hand Occurrences,Double Pair Theoretical Probability,Double Pair Empirical Probability,Double Pair Expected Occurrences,Double Pair Empirical Probability Mean,Double Pair Empirical Probability Variance,Double Pair Absolute Empirical Max and Min Probability Range,Double Pair High Deviation Intervals,Double Pair Hand Occurrences Mean,Double Pair Absolute Theoretical and Empirical Probability Difference Mean,Double Pair Expected Hand Occurrences Per Interval,Double Pair Absolute Theoretical and Empirical Probability Variance,Double Pair Skewness,Double Pair Hand Occurrence Variance,Three of a Kind Hand Occurrences,Three of a Kind Theoretical Probability,Three of a Kind Empirical Probability,Three of a Kind Expected Occurrences,Three of a Kind Empirical Probability Mean,Three of a Kind Empirical Probability Variance,Three of a Kind Absolute Empirical Max and Min Probability Range,Three of a Kind High Deviation Intervals,Three of a Kind Hand Occurrences Mean,Three of a Kind Absolute Theoretical and Empirical Probability Difference Mean,Three of a Kind Expected Hand Occurrences Per Interval,Three of a Kind Absolute Theoretical and Empirical Probability Variance,Three of a Kind Skewness,Three of a Kind Hand Occurrence Variance,Straight Hand Occurrences,Straight Theoretical Probability,Straight Empirical Probability,Straight Expected Occurrences,Straight Empirical Probability Mean,Straight Empirical Probability Variance,Straight Absolute Empirical Max and Min Probability Range,Straight High Deviation Intervals,Straight Hand Occurrences Mean,Straight Absolute Theoretical and Empirical Probability Difference Mean,Straight Expected Hand Occurrences Per Interval,Straight Absolute Theoretical and Empirical Probability Variance,Straight Skewness,Straight Hand Occurrence Variance,Flush Hand Occurrences,Flush Theoretical Probability,Flush Empirical Probability,Flush Expected Occurrences,Flush Empirical Probability Mean,Flush Empirical Probability Variance,Flush Absolute Empirical Max and Min Probability Range,Flush High Deviation Intervals,Flush Hand Occurrences Mean,Flush Absolute Theoretical and Empirical Probability Difference Mean,Flush Expected Hand Occurrences Per Interval,Flush Absolute Theoretical and Empirical Probability Variance,Flush Skewness,Flush Hand Occurrence Variance,Full House Hand Occurrences,Full House Theoretical Probability,Full House Empirical Probability,Full House Expected Occurrences,Full House Empirical Probability Mean,Full House Empirical Probability Variance,Full House Absolute Empirical Max and Min Probability Range,Full House High Deviation Intervals,Full House Hand Occurrences Mean,Full House Absolute Theoretical and Empirical Probability Difference Mean,Full House Expected Hand Occurrences Per Interval,Full House Absolute Theoretical and Empirical Probability Variance,Full House Skewness,Full House Hand Occurrence Variance,Four of a Kind Hand Occurrences,Four of a Kind Theoretical Probability,Four of a Kind Empirical Probability,Four of a Kind Expected Occurrences,Four of a Kind Empirical Probability Mean,Four of a Kind Empirical Probability Variance,Four of a Kind Absolute Empirical Max and Min Probability Range,Four of a Kind High Deviation Intervals,Four of a Kind Hand Occurrences Mean,Four of a Kind Absolute Theoretical and Empirical Probability Difference Mean,Four of a Kind Expected Hand Occurrences Per Interval,Four of a Kind Absolute Theoretical and Empirical Probability Variance,Four of a Kind Skewness,Four of a Kind Hand Occurrence Variance,Straight Flush Hand Occurrences,Straight Flush Theoretical Probability,Straight Flush Empirical Probability,Straight Flush Expected Occurrences,Straight Flush Empirical Probability Mean,Straight Flush Empirical Probability Variance,Straight Flush Absolute Empirical Max and Min Probability Range,Straight Flush High Deviation Intervals,Straight Flush Hand Occurrences Mean,Straight Flush Absolute Theoretical and Empirical Probability Difference Mean,Straight Flush Expected Hand Occurrences Per Interval,Straight Flush Absolute Theoretical and Empirical Probability Variance,Straight Flush Skewness,Straight Flush Hand Occurrence Variance,Royal Flush Hand Occurrences,Royal Flush Theoretical Probability,Royal Flush Empirical Probability,Royal Flush Expected Occurrences,Royal Flush Empirical Probability Mean,Royal Flush Empirical Probability Variance,Royal Flush Absolute Empirical Max and Min Probability Range,Royal Flush High Deviation Intervals,Royal Flush Hand Occurrences Mean,Royal Flush Absolute Theoretical and Empirical Probability Difference Mean,Royal Flush Expected Hand Occurrences Per Interval,Royal Flush Absolute Theoretical and Empirical Probability Variance,Royal Flush Skewness,Royal Flush Hand Occurrence Variance,Number of Trials
Simulation 1,4964,0.5011774,0.4964,5011.774,0.4967539849999999,3.07e-05,0.029200000000000004,1,248.2,0.005433055000000006,250.5887,2.07e-05,-1.7010729,139.26,4250,0.422569,0.425,4225.69,0.4240955800000001,1.96e-05,0.024399999999999977,1,212.5,0.002843430000000008,211.28449999999998,1.39e-05,2.220286,130.65,480,0.047539,0.048,475.39,0.049100515000000004,7.1e-06,0.011714300000000004,1,24.0,0.001765195000000001,23.7695,6.4e-06,2.3354916,18.2,210,0.0211285,0.021,211.28500000000003,0.020347375000000004,5.9e-06,0.0086154,0,10.5,0.0016237250000000001,10.564250000000001,3.9e-06,-1.9497566,9.15,64,0.0039246,0.0064,39.246,0.0071425449999999975,3e-07,0.002266699999999999,0,3.2,0.003217945,1.9623000000000002,3e-07,1.0918068,2.86,23,0.0019654,0.0023,19.654,0.0020399850000000002,0.0,0.0007067999999999998,0,1.15,0.00013999500000000004,0.9827,0.0,0,0.4275,8,0.0014406,0.0008,14.406,0.00045316000000000003,1e-07,0.0008,0,0.4,0.0009874400000000002,0.7203,1e-07,-0.7414222,0.34,1,0.0002401,0.0001,2.4010000000000002,6.687500000000001e-05,0.0,0.0001818,0,0.05,0.000173225,0.12005,0.0,0,0.0475,0,1.39e-05,0.0,0.139,0.0,0.0,0.0,0,0.0,1.3900000000000008e-05,0.0069500000000000004,0.0,0,0.0,0,1.5e-06,0.0,0.015000000000000001,0.0,0.0,0.0,0,0.0,1.4999999999999996e-06,0.00075,0.0,0,0.0,10000
Simulation 2,5012,0.5011774,0.5012,5011.774,0.5039295650000001,3.49e-05,0.030000000000000027,2,250.6,0.004669905000000002,250.5887,2.07e-05,-2.6676489,125.24,4217,0.422569,0.4217,4225.69,0.42488073999999987,4.02e-05,0.030222200000000032,1,210.85,0.0030510600000000056,211.28449999999998,3.63e-05,3.6433801,83.3275,486,0.047539,0.0486,475.39,0.043718614999999995,7.8e-06,0.009266699999999996,0,24.3,0.003983114999999998,23.7695,6.5e-06,0.0811808,22.01,191,0.0211285,0.0191,211.28500000000003,0.018871415,1.6e-06,0.004266699999999998,0,9.55,0.0022570850000000016,10.564250000000001,1.6e-06,-1.0216167,12.0475,65,0.0039246,0.0065,39.246,0.006732125,8e-07,0.004,0,3.25,0.0028075249999999995,1.9623000000000002,8e-07,2.9336686,1.4875,18,0.0019654,0.0018,19.654,0.001283135,3e-07,0.0018824,0,0.9,0.0006822649999999999,0.9827,3e-07,-1.3664209,0.69,9,0.0014406,0.0009,14.406,0.00057442,2e-07,0.0010769,0,0.45,0.0008661799999999997,0.7203,2e-07,-0.4789204,0.4475,1,0.0002401,0.0001,2.4010000000000002,5e-06,0.0,0.0001,0,0.05,0.00023509999999999997,0.12005,0.0,0,0.0475,1,1.39e-05,0.0001,0.139,5e-06,0.0,0.0001,0,0.05,1.7510000000000007e-05,0.0069500000000000004,0.0,0,0.0475,0,1.5e-06,0.0,0.015000000000000001,0.0,0.0,0.0,0,0.0,1.4999999999999996e-06,0.00075,0.0,0,0.0,10000
Simulation 3,4979,0.5011774,0.4979,5011.774,0.49481224,2.68e-05,0.020666700000000038,5,248.95,0.007196349999999999,250.5887,1.55e-05,0.4128521,86.3475,4239,0.422569,0.4239,4225.69,0.426278165,3.15e-05,0.029000000000000026,2,211.95,0.004989635000000023,211.28449999999998,2.04e-05,0.5858419,89.6475,480,0.047539,0.048,475.39,0.04613906500000001,1.62e-05,0.019000000000000003,1,24.0,0.0021431050000000006,23.7695,1.36e-05,-3.7082007,23.0,195,0.0211285,0.0195,211.28500000000003,0.020783425,2e-06,0.005142900000000002,0,9.75,0.0011638450000000004,10.564250000000001,7e-07,-0.267885,9.9875,71,0.0039246,0.0071,39.246,0.00826373,2.3e-06,0.0061110999999999995,0,3.55,0.00433913,1.9623000000000002,2.3e-06,1.8991391,2.8475,21,0.0019654,0.0021,19.654,0.0025500300000000004,3e-07,0.002,0,1.05,0.0005846299999999999,0.9827,3e-07,1.2543294,1.5475,13,0.0014406,0.0013,14.406,0.001000155,1e-07,0.0013,0,0.65,0.0004404449999999999,0.7203,1e-07,-3.5578944,0.3275,2,0.0002401,0.0002,2.4010000000000002,0.000173195,0.0,0.0003333,0,0.1,8.998499999999999e-05,0.12005,0.0,0,0.09,0,1.39e-05,0.0,0.139,0.0,0.0,0.0,0,0.0,1.3900000000000008e-05,0.0069500000000000004,0.0,0,0.0,0,1.5e-06,0.0,0.015000000000000001,0.0,0.0,0.0,0,0.0,1.4999999999999996e-06,0.00075,0.0,0,0.0,10000
Simulation 4,4965,0.5011774,0.4965,5011.774,0.49877964500000005,6.02e-05,0.038285700000000034,1,248.25,0.005562275,250.5887,3.5e-05,3.6979202,101.9875,4252,0.422569,0.4252,4225.69,0.422245865,9.08e-05,0.044800000000000006,1,212.6,0.005121605000000013,211.28449999999998,6.46e-05,-3.7229476,130.04,471,0.047539,0.0471,475.39,0.04798566500000001,9.1e-06,0.0125129,0,23.55,0.0021747049999999994,23.7695,4.6e-06,1.6774587,27.8475,219,0.0211285,0.0219,211.28500000000003,0.02158611,1.5e-06,0.0058333,0,10.95,0.000814059999999999,10.564250000000001,1e-06,2.5642909,7.2475,66,0.0039246,0.0066,39.246,0.006894320000000001,7e-07,0.0044,0,3.3,0.0029697199999999995,1.9623000000000002,7e-07,2.5747677,2.31,16,0.0019654,0.0016,19.654,0.00165336,0.0,0.00075,0,0.8,0.00032587999999999996,0.9827,0.0,0,0.46,10,0.0014406,0.001,14.406,0.0008333100000000001,1e-07,0.0016364,0,0.5,0.00066323,0.7203,0.0,2.4311384,0.65,0,0.0002401,0.0,2.4010000000000002,0.0,0.0,0.0,0,0.0,0.00024009999999999998,0.12005,0.0,0,0.0,1,1.39e-05,0.0001,0.139,2.17e-05,0.0,0.0001176,0,0.05,3.0040000000000004e-05,0.0069500000000000004,0.0,0,0.0475,0,1.5e-06,0.0,0.015000000000000001,0.0,0.0,0.0,0,0.0,1.4999999999999996e-06,0.00075,0.0,0,0.0,10000
Simulation 5,5018,0.5011774,0.5018,5011.774,0.49508190999999996,7.47e-05,0.027000000000000024,7,250.9,0.007322970000000001,250.5887,5.82e-05,-0.7974518,130.09,4204,0.422569,0.4204,4225.69,0.424818155,5.06e-05,0.022266700000000028,4,210.2,0.005794705,211.28449999999998,2.2e-05,0.9702614,102.76,497,0.047539,0.0497,475.39,0.048974855,7e-06,0.011249999999999996,0,24.85,0.002643655000000002,23.7695,2e-06,-2.8463071,18.4275,193,0.0211285,0.0193,211.28500000000003,0.019301019999999995,2.1e-06,0.008,0,9.65,0.0021146300000000006,10.564250000000001,1e-06,1.1534181,9.5275,68,0.0039246,0.0068,39.246,0.009731779999999999,1.19e-05,0.0124444,3,3.4,0.0058071799999999995,1.9623000000000002,1.19e-05,1.4659714,6.94,9,0.0019654,0.0009,19.654,0.0011805600000000002,1e-07,0.0011429,0,0.45,0.0007917600000000001,0.9827,1e-07,1.8603643,0.4475,7,0.0014406,0.0007,14.406,0.000762385,1e-07,0.0015,0,0.35,0.0007341549999999998,0.7203,0.0,3.4374354,0.3275,4,0.0002401,0.0004,2.4010000000000002,0.00014934000000000003,0.0,0.0004444,0,0.2,0.00019736000000000002,0.12005,0.0,0,0.26,0,1.39e-05,0.0,0.139,0.0,0.0,0.0,0,0.0,1.3900000000000008e-05,0.0069500000000000004,0.0,0,0.0,0,1.5e-06,0.0,0.015000000000000001,0.0,0.0,0.0,0,0.0,1.4999999999999996e-06,0.00075,0.0,0,0.0,10000
Simulation 6,4951,0.5011774,0.4951,5011.774,0.49340051,1.63e-05,0.013000000000000012,5,247.55,0.007776889999999997,250.5887,1.63e-05,-1.1761516,125.2475,4246,0.422569,0.4246,4225.69,0.42246841,6.7e-06,0.009333300000000044,0,212.3,0.002152409999999999,211.28449999999998,2.1e-06,-0.1432543,139.71,489,0.047539,0.0489,475.39,0.05202827000000001,7.4e-06,0.008555600000000003,0,24.45,0.004489270000000001,23.7695,7.4e-06,0.4418815,18.8475,211,0.0211285,0.0211,211.28500000000003,0.02066737,1.6e-06,0.006285699999999998,0,10.55,0.0006920800000000001,10.564250000000001,1.3e-06,-2.8586108,7.2475,69,0.0039246,0.0069,39.246,0.007653329999999998,7e-07,0.0034999999999999996,0,3.45,0.003728730000000001,1.9623000000000002,7e-07,0.3566076,2.1475,21,0.0019654,0.0021,19.654,0.002276235,5e-07,0.004,0,1.05,0.0005296249999999999,0.9827,4e-07,-0.9541451,1.0475,11,0.0014406,0.0011,14.406,0.0013464700000000002,3e-07,0.003,0,0.55,0.0004404999999999999,0.7203,1e-07,0.9738959,0.7475,1,0.0002401,0.0001,2.4010000000000002,0.000131435,0.0,0.0003333,0,0.05,0.00012353499999999998,0.12005,0.0,0,0.0475,1,1.39e-05,0.0001,0.139,2.7950000000000002e-05,0.0,0.000125,0,0.05,3.49e-05,0.0069500000000000004,0.0,0,0.0475,0,1.5e-06,0.0,0.015000000000000001,0.0,0.0,0.0,0,0.0,1.4999999999999996e-06,0.00075,0.0,0,0.0,10000
Simulation 7,4958,0.5011774,0.4958,5011.774,0.4931403,2.29e-05,0.026000000000000023,3,247.9,0.008719359999999995,250.5887,1.15e-05,0.6201714,111.49,4225,0.422569,0.4225,4225.69,0.422745335,1.17e-05,0.018000000000000016,1,211.25,0.002420425000000004,211.28449999999998,5.9e-06,-1.2310094,77.7875,490,0.047539,0.049,475.39,0.049824379999999995,4.2e-06,0.010000000000000002,0,24.5,0.002439280000000003,23.7695,3.5e-06,1.3624945,26.85,232,0.0211285,0.0232,211.28500000000003,0.023246415,2e-07,0.001714300000000002,0,11.6,0.002117914999999999,10.564250000000001,2e-07,-0.027779,3.84,68,0.0039246,0.0068,39.246,0.00847453,1.8e-06,0.004866700000000001,0,3.4,0.004549930000000001,1.9623000000000002,1.8e-06,0.8975208,5.04,16,0.0019654,0.0016,19.654,0.0014104850000000002,1e-07,0.0013333,0,0.8,0.000558375,0.9827,1e-07,-0.8672948,0.96,11,0.0014406,0.0011,14.406,0.00115856,2e-07,0.0016667,0,0.55,0.00033942000000000005,0.7203,1e-07,-1.0625114,0.5475,0,0.0002401,0.0,2.4010000000000002,0.0,0.0,0.0,0,0.0,0.00024009999999999998,0.12005,0.0,0,0.0,0,1.39e-05,0.0,0.139,0.0,0.0,0.0,0,0.0,1.3900000000000008e-05,0.0069500000000000004,0.0,0,0.0,0,1.5e-06,0.0,0.015000000000000001,0.0,0.0,0.0,0,0.0,1.4999999999999996e-06,0.00075,0.0,0,0.0,10000
Simulation 8,5007,0.5011774,0.5007,5011.774,0.49958244,1.87e-05,0.016133300000000017,1,250.35,0.0031546399999999946,250.5887,1.13e-05,-1.3527226,76.8275,4216,0.422569,0.4216,4225.69,0.42044730500000005,2.63e-05,0.025999999999999968,1,210.8,0.004150994999999979,211.28449999999998,1.36e-05,-0.2613763,85.86,440,0.047539,0.044,475.39,0.046645595000000005,1.79e-05,0.020375000000000004,1,22.0,0.0027317049999999996,23.7695,1.12e-05,3.9533831,23.0,225,0.0211285,0.0225,211.28500000000003,0.02269172,2e-06,0.0063158,0,11.25,0.0015632199999999982,10.564250000000001,2e-06,3.2061667,12.8875,81,0.0039246,0.0081,39.246,0.007701975,3.5e-06,0.0088,0,4.05,0.004169834999999999,1.9623000000000002,4e-07,-4.080039,3.4475,14,0.0019654,0.0014,19.654,0.0011114849999999997,1e-07,0.0014667,0,0.7,0.0008539149999999999,0.9827,1e-07,-2.3966916,0.81,13,0.0014406,0.0013,14.406,0.00123361,1e-07,0.0012000000000000001,0,0.65,0.00032481,0.7203,0.0,1.4136526,0.4275,4,0.0002401,0.0004,2.4010000000000002,0.000585865,1e-07,0.0017333000000000001,0,0.2,0.00034576500000000005,0.12005,1e-07,5.2486311,0.16,0,1.39e-05,0.0,0.139,0.0,0.0,0.0,0,0.0,1.3900000000000008e-05,0.0069500000000000004,0.0,0,0.0,0,1.5e-06,0.0,0.015000000000000001,0.0,0.0,0.0,0,0.0,1.4999999999999996e-06,0.00075,0.0,0,0.0,10000
